state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Hullathi,111148%3A%3A981,55.0,32,2404,2404,9,9,9,9,10,10,10,10,100% Har Ghar Jal,2723,190,5778,8691
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Ithalar,111148%3A%3A991,55.0,31,3327,3327,13,13,13,13,11,11,11,11,100% Har Ghar Jal,3420,95,6591,10106
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Kadanad,111148%3A%3A9%3A1,55.0,35,2175,2175,11,11,11,11,8,8,8,8,100% Har Ghar Jal,1154,188,6108,7450
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Kagguchi,111148%3A%3A%3A11,55.0,42,3553,3553,13,13,13,13,15,15,15,15,100% Har Ghar Jal,5256,563,5581,11400
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Kukkal,111148%3A%3A%3A21,55.0,24,1395,1395,5,5,5,5,5,5,5,5,100% Har Ghar Jal,918,297,4035,5250
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Melkundah,111148%3A%3A%3A31,55.0,22,1481,1481,5,5,5,5,4,4,4,4,100% Har Ghar Jal,1822,132,1887,3841
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Mulligoor,111148%3A%3A%3A41,55.0,25,1485,1485,4,4,4,4,4,4,4,4,100% Har Ghar Jal,2077,97,2326,4500
Tamil Nadu,Perambalur,Perambalur,73691,Siruvacher,111148537%3A1,55.0,1,1761,1199,3,3,3,3,1,1,1,1,In progress,2258,1,4031,6290
Tamil Nadu,Perambalur,Perambalur,73691,Melapuliyur,11114853761,39.4,3,2018,1531,5,5,5,5,3,3,3,3,In progress,2804,24,3542,6370
Tamil Nadu,Perambalur,Perambalur,73691,Alambadi,11114853631,55.0,3,1808,1374,4,4,4,4,4,4,4,4,In progress,8106,0,3651,11757
Tamil Nadu,Perambalur,Perambalur,73691,Ladapuram R.f,11114853751,30.19,3,3318,2872,3,3,3,3,4,4,4,4,In progress,4119,37,5707,9863
Tamil Nadu,Perambalur,Perambalur,73691,Ayyalur,11114853651,40.63,2,1278,1117,3,3,3,3,2,2,2,2,In progress,1498,0,2401,3899
Tamil Nadu,Perambalur,Perambalur,73691,Elambalur,11114853681,37.86,6,3463,3045,6,6,6,6,4,4,4,4,In progress,3810,12,6567,10389
Tamil Nadu,Perambalur,Perambalur,73691,Kalarampatti,111148536%3A1,55.0,1,1467,1356,3,3,3,3,1,1,1,1,In progress,1886,0,1942,3828
Tamil Nadu,Perambalur,Perambalur,73691,Kalpadi (south),11114853711,55.0,4,1860,1833,4,4,4,4,5,5,5,5,In progress,1998,0,5141,7139
Tamil Nadu,Perambalur,Perambalur,73691,Kaualpalayam,11114853721,55.0,1,776,776,2,2,2,2,1,1,1,1,100% Har Ghar Jal,65,0,2263,2328
Tamil Nadu,Perambalur,Perambalur,73691,Keelakkarai,11114853731,55.0,6,1830,1830,2,2,2,2,4,4,4,4,100% Har Ghar Jal,754,0,5348,6102
Tamil Nadu,Perambalur,Perambalur,73691,Koneripalayam,11114853741,55.0,1,622,622,1,1,1,1,1,1,1,1,100% Har Ghar Jal,494,0,1522,2016
Tamil Nadu,Perambalur,Perambalur,73691,Bommanappady,11114853661,45.0,1,1223,1223,2,2,2,2,1,1,1,1,100% Har Ghar Jal,1768,0,1779,3547
Tamil Nadu,Perambalur,Perambalur,73691,Chatramani,11114853671,49.0,1,1346,1346,2,2,2,2,2,2,2,2,100% Har Ghar Jal,1220,2,2747,3969
Tamil Nadu,Perambalur,Perambalur,73691,Ammapalayam,11114853641,55.0,1,2076,2076,2,2,2,2,1,1,1,1,100% Har Ghar Jal,2056,52,4268,6376
Tamil Nadu,Perambalur,Perambalur,73691,Esanai,11114853691,55.0,5,2320,2320,5,5,5,5,3,3,3,3,100% Har Ghar Jal,3776,29,2849,6654
Tamil Nadu,Perambalur,Perambalur,73691,Velur,11114853821,55.0,5,2115,2115,5,5,5,5,3,3,3,3,100% Har Ghar Jal,1042,0,4263,5305
Tamil Nadu,Perambalur,Perambalur,73691,Nochiyam,11114853771,55.0,3,1315,1315,3,3,3,3,3,3,3,3,100% Har Ghar Jal,820,0,3380,4200
Tamil Nadu,Perambalur,Perambalur,73691,Pudunaduvalur,11114853781,55.0,4,842,842,2,2,2,2,2,2,2,2,100% Har Ghar Jal,850,0,1724,2574
Tamil Nadu,Perambalur,Perambalur,73691,Sengunam,11114853791,55.0,3,1707,1707,2,2,2,2,3,3,3,3,100% Har Ghar Jal,2486,0,2537,5023
Tamil Nadu,Perambalur,Alathur,73651,Therani,11114852471,33.0,1,912,287,2,2,2,2,3,3,3,3,In progress,925,0,2195,3120
Tamil Nadu,Perambalur,Alathur,73651,Keelamathur,11114852231,55.0,6,1022,348,5,5,5,5,6,6,6,6,In progress,920,0,2278,3198
Tamil Nadu,Perambalur,Alathur,73651,Kolathur,111148524%3A1,52.0,1,1004,393,2,2,2,2,3,3,3,3,In progress,1121,0,1766,2887
Tamil Nadu,Perambalur,Alathur,73651,Nakkasalem,11114852371,55.0,3,1523,620,3,3,3,3,4,4,4,4,In progress,1927,3,3238,5168
Tamil Nadu,Perambalur,Alathur,73651,Thimmur,11114852511,55.0,1,640,314,1,1,1,1,3,3,3,3,In progress,631,0,1685,2316
Tamil Nadu,Perambalur,Alathur,73651,Z. Athur,11114852581,41.0,2,516,255,2,2,2,2,3,3,3,3,In progress,332,0,1764,2096
Tamil Nadu,Perambalur,Alathur,73651,Allinagaram,11114852241,55.0,6,1671,864,7,7,7,7,7,7,7,7,In progress,1458,0,4273,5731
Tamil Nadu,Perambalur,Alathur,73651,Karai,11114852461,55.0,3,1655,1119,4,4,4,4,4,4,4,4,In progress,1426,0,3658,5084
Tamil Nadu,Perambalur,Alathur,73651,Elanthalapatti,11114852331,55.0,2,1550,1133,1,1,1,1,6,6,6,6,In progress,1015,0,3509,4524
Tamil Nadu,Perambalur,Alathur,73651,Gudalur,11114852521,55.0,2,1270,940,3,3,3,3,3,3,3,3,In progress,1026,0,1820,2846
Tamil Nadu,Perambalur,Alathur,73651,Kolakkanatham,11114852491,55.0,1,950,720,2,2,2,2,2,2,2,2,In progress,921,90,2625,3636
Tamil Nadu,Perambalur,Alathur,73651,Nochikulam,11114852551,55.0,5,1731,1312,5,5,5,5,7,7,7,7,In progress,808,0,4967,5775
Tamil Nadu,Perambalur,Alathur,73651,Kannapadi,11114852361,55.0,1,630,482,3,3,3,3,2,2,2,2,In progress,869,0,922,1791
Tamil Nadu,Perambalur,Alathur,73651,T.kalathur,11114852341,43.04,2,1444,1125,5,5,5,5,4,4,4,4,In progress,2823,77,2068,4968
Tamil Nadu,Perambalur,Alathur,73651,Padalur,11114852451,47.48,3,3360,2788,6,6,6,6,7,7,7,7,In progress,2713,6,8658,11377
Tamil Nadu,Perambalur,Alathur,73651,Thenur,11114852351,55.0,2,1332,1117,4,4,4,4,3,3,3,3,In progress,357,0,2597,2954
Tamil Nadu,Perambalur,Alathur,73651,Kottarai,11114852291,55.0,2,705,592,3,3,3,3,2,2,2,2,In progress,548,0,2037,2585
Tamil Nadu,Perambalur,Alathur,73651,Naranamangalam,11114852431,43.78,3,1334,1184,4,4,4,4,6,6,6,6,In progress,2303,5,3362,5670
Tamil Nadu,Perambalur,Alathur,73651,Chettikulam,11114852411,55.0,1,2100,1900,3,3,3,3,6,6,6,6,In progress,1350,0,5088,6438
Tamil Nadu,Perambalur,Alathur,73651,Irur,11114852441,55.0,3,1484,1372,3,3,3,3,6,6,6,6,In progress,1212,0,3748,4960
Tamil Nadu,Perambalur,Alathur,73651,Ayyanapuram,11114852481,55.0,2,740,731,2,2,2,2,2,2,2,2,In progress,663,0,1494,2157
Tamil Nadu,Perambalur,Alathur,73651,Bhujangarayanallukr,11114852531,55.0,2,627,627,3,3,3,3,2,2,2,2,100% Har Ghar Jal,483,0,1606,2089
Tamil Nadu,Perambalur,Alathur,73651,Sillakudi,11114852591,55.0,3,1049,1049,4,4,4,4,5,5,5,5,100% Har Ghar Jal,482,0,2511,2993
Tamil Nadu,Perambalur,Alathur,73651,Varagupadi,111148525%3A1,48.0,1,579,579,1,1,1,1,1,1,1,1,100% Har Ghar Jal,635,0,1072,1707
Tamil Nadu,Perambalur,Alathur,73651,Nattarmangalam,11114852421,55.0,2,1049,1049,2,2,2,2,3,3,3,3,100% Har Ghar Jal,580,0,2072,2652
Tamil Nadu,Perambalur,Alathur,73651,Melamathur,11114852221,55.0,2,736,736,3,3,3,3,4,4,4,4,100% Har Ghar Jal,977,0,2450,3427
Tamil Nadu,Perambalur,Alathur,73651,Siruvayalur,11114852381,55.0,5,1999,1999,6,6,6,6,7,7,7,7,100% Har Ghar Jal,2086,0,4111,6197
Tamil Nadu,Perambalur,Alathur,73651,Mavilingai,111148523%3A1,55.0,1,489,489,1,1,1,1,1,1,1,1,100% Har Ghar Jal,363,0,758,1121
Tamil Nadu,Perambalur,Alathur,73651,Sathanur,11114852311,55.0,2,614,614,2,2,2,2,2,2,2,2,100% Har Ghar Jal,690,0,1751,2441
Tamil Nadu,Perambalur,Alathur,73651,Siruganpur,11114852321,55.0,3,615,615,3,3,3,3,2,2,2,2,100% Har Ghar Jal,1070,0,1094,2164
Tamil Nadu,Perambalur,Alathur,73651,Koothur,11114852261,60.47,2,546,546,2,2,2,2,3,3,3,3,100% Har Ghar Jal,256,0,1479,1735
Tamil Nadu,Perambalur,Alathur,73651,Adhanur,11114852271,55.0,2,927,927,3,3,3,3,3,3,3,3,100% Har Ghar Jal,937,0,3588,4525
Tamil Nadu,Perambalur,Alathur,73651,Pilimisai,11114852281,55.0,1,624,624,1,1,1,1,1,1,1,1,100% Har Ghar Jal,241,0,1396,1637
Tamil Nadu,Perambalur,Veppanthattai,73731,Kai.kalathur,11114854951,55.0,5,2153,804,6,6,6,6,3,3,3,3,In progress,3158,3,3890,7051
Tamil Nadu,Perambalur,Veppanthattai,73731,Udumbiam,11114854821,37.42,3,704,292,5,5,5,5,1,1,1,1,In progress,1239,2,3154,4395
Tamil Nadu,Perambalur,Veppanthattai,73731,Mettupalayam,11114854%3A31,45.7,4,876,383,4,4,4,4,2,2,2,2,In progress,1412,1,2578,3991
Tamil Nadu,Perambalur,Veppanthattai,73731,Veppanthattai R.f,11114854881,55.0,1,1200,549,3,3,3,3,2,2,2,2,In progress,1518,2,3546,5066
Tamil Nadu,Perambalur,Veppanthattai,73731,Venbavur,111148548%3A1,41.0,1,828,387,2,2,2,2,1,1,1,1,In progress,1570,2,1580,3152
Tamil Nadu,Perambalur,Veppanthattai,73731,Neikuppai,11114854991,45.46,2,1310,713,3,3,3,3,2,2,2,2,In progress,1226,0,2430,3656
Tamil Nadu,Perambalur,Veppanthattai,73731,Pasumbalur,11114854971,55.0,1,2013,1102,2,2,2,2,1,1,1,1,In progress,2928,0,4222,7150
Tamil Nadu,Perambalur,Veppanthattai,73731,Pandagapady,11114854981,55.0,1,556,309,1,1,1,1,1,1,1,1,In progress,410,0,1286,1696
Tamil Nadu,Perambalur,Veppanthattai,73731,Noothappur,11114854931,55.0,4,1785,1002,6,6,6,6,4,4,4,4,In progress,2671,0,3746,6417
Tamil Nadu,Perambalur,Veppanthattai,73731,Thondappadi,11114854911,42.0,2,746,421,2,2,2,2,2,2,2,2,In progress,559,0,2726,3285
Tamil Nadu,Perambalur,Veppanthattai,73731,Thondamandurai R.f.,11114854861,34.28,4,2135,1207,7,7,7,7,5,5,5,5,In progress,1744,176,6260,8180
Tamil Nadu,Perambalur,Veppanthattai,73731,Annamangalam,11114854891,55.0,7,3194,1841,10,10,10,10,7,7,7,7,In progress,3387,35,11640,15062
Tamil Nadu,Perambalur,Veppanthattai,73731,Vengalam,11114854871,41.53,2,2225,1400,6,6,6,6,3,3,3,3,In progress,2813,0,3649,6462
