name,constituency,so_do_wo,age,party,assets,liabilities
ORUGANTI VENKATESHWARLU,MEDCHAL  (MEDCHAL-MALKAJGIRI),Venkateswarlu,49,Bharatha Chaitanya Yuvajana Party,"Rs 14,13,98,166","Rs 1,13,00,000"
PADMAJA GADDAM,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Partha Saradhi Gaddam,46,Praja Ektha Party,"Rs 1,00,000",Nil
PAMPARI NARSIMHA NARENDER,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. P. Narsimha,45,Rajyadhikara Party,Telangana 2023,"Rs85,75,605"
PARAMESHWAR REDDY MANDUMULA,UPPAL  (MEDCHAL-MALKAJGIRI),Late Krishna Reddy,45,INC,"Rs 5,00,09,182","Rs 12,07,071"
PASUNOORI SANDEEP REDDY,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. Pasunoori Narasimha Reddy,40,IND,"Rs 9,84,329",Nil
PAWAN KALYAN,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Koninti Nagaraj Goud,32,IND,"Rs 10,500",Nil
PITLA MOHAAN RAJ,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. Pitla Krishna,50,IND,"Rs 57,74,00,000","Rs 43,00,000"
POLASA RAVI KUMAR,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late Sh. Polasa Brahmaiah Chary,51,IND,"Rs 4,27,20,483","Rs 85,00,000"
R. RAJ KAMAL MAHARAJ,MEDCHAL  (MEDCHAL-MALKAJGIRI),R. Mallaiah,36,Dharma Samaj Party,"Rs 5,50,000",Nil
R. SRINIVAS,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late R Bhim Rao,58,IND,"Rs 15,000","Rs 28,00,000"
RAJASHEKAR REDDY VEERAIAHGARI,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. Veeraiah Gari Siddiramreddy,31,IND,"Rs 4,60,000",Nil
RAMANCHARLA SRIKANTH,MEDCHAL  (MEDCHAL-MALKAJGIRI),Ramancharla Kalidas,37,IND,"Rs 2,37,000",Nil
RAMCHANDER RAO N,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late N.V.R.L.N.RAO,64,BJP,Telangana Legislative Council (Updated),"Rs2,27,51,000"
RAMESH LOGGARI,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late Sh. Balnarsaiah Loggari,46,Praja Velugu Party,Telangana 2023,"Rs21,46,357"
RATHOD DILEEP KUMAR,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late R. Kishan Rao,45,Navarang Congress Party,Telangana 2018,"Rs6,95,000"
RAVI MOLUGURI,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Yeshobu Moluguri,37,Bhartiya Swadeshi Congress,"Rs 38,64,000",Nil
RAVIKOTI MADAN MOHAN,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),R. Rajaiah,84,IND,"Rs 78,97,500",Nil
RAVINDAR,QUTHBULLAPUR  (MEDCHAL-MALKAJGIRI),Sathaiah Goud,55,Marxist Communist Party of India (United),"Rs 51,50,000",Nil
REVU CHINNA DHANA RAJU,UPPAL  (MEDCHAL-MALKAJGIRI),R.Appa Rao,32,IND,Telangana 2018,"Rs25,000"
RUNJALA JOHN ABRAHAM,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Runjala Noble Babu,27,India Praja Bandhu Party,Telangana 2023,"Rs18,000"
RUNJALA JOHN ABRAHAM,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. Runjala Noble Babu,27,India Praja Bandhu Party,Telangana 2023,"Rs16,000"
S ANIL KUMAR,MEDCHAL  (MEDCHAL-MALKAJGIRI),Shankula Bhadraiah,33,IND,"Rs 5,53,000","Rs 1,50,000"
SADANANDAM GADDAM,MEDCHAL  (MEDCHAL-MALKAJGIRI),Swamy Gaddam,50,IND,"Rs 10,20,691","Rs 4,50,000"
SAGARAM SREEDHAR,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late Sh. S. Venkat Rao,67,Republican Party of India (Athawale),"Rs 4,19,000",Nil
SAI KUMAR PANTHULA,QUTHBULLAPUR  (MEDCHAL-MALKAJGIRI),Raghupathi Panthula,33,IND,"Rs 2,46,792",Nil
SANDRA SUNIL KUMAR,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Solomon,37,Dharma Samaj Party,"Rs 5,85,097",Nil
SATISH CHARY,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Sh. Modumpuram Sambaiah,38,IND,"Rs 6,13,000",Nil
SATYAM MADE,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Ramulu Made,43,IND,"Rs 3,28,29,000","Rs 74,00,000"
SAUDAGAR BHIKAM PRAVEEN,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Late S.N Bhikam Singh,42,IND,Telangana 2018,"Rs22,65,000"
SESHAMATAM NAVEEN KUMAR,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Sh. Narasimha Rao Seshamatam,39,Telangana Rajya Samithi,"Rs 36,59,674","Rs 25,28,016"
SHAIK FAIYAZ AHMED,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Jameel Ahmed,45,Desh Janhit Party,"Rs 3,80,200",Nil
SHAIKH CHAND AHMED,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Shaikh Mansoor Ahmed,36,All India Hindustan Congress Party,"Rs 62,54,000",Nil
SHAMAIK SARILLA,MEDCHAL  (MEDCHAL-MALKAJGIRI),Chitti Babu,27,IND,"Rs 28,697",Nil
SUDHAKAR MENDE YADAV,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Late Sh. Yadaiah Mende,49,IND,"Rs 86,75,000",Nil
SUKHENDER REDDY NARRA,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Ram Reddy N,34,Vidhyarthula Rajakiya Party,"Rs 1,00,67,400","Rs 44,99,510"
SUNKARA NARESH,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Sunkara Babu Rao,36,BSP,"Rs 1,15,49,363",Nil
THOOMU YELLA RAO,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Late Sh. Thoomu Yadaiah,58,IND,Telangana 2014,"Rs48,50,021"
THOTA SUVARNA,QUTHBULLAPUR  (MEDCHAL-MALKAJGIRI),T.Narsimlu,44,India Praja Bandhu Party,"Rs 64,09,188",Nil
THOTAKURA VAJRESH YADAV (JANGAIAH YADAV),MEDCHAL  (MEDCHAL-MALKAJGIRI),Late Sri Thotakura Yellaiah,58,INC,Telangana 2014,"Rs20,61,07,500"
V.R. SRINIVAS,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Ramaiah Srinivas Valluri,48,All India Mahila Empowerment Party,Telangana 2018,"Rs4,45,000"
VARADA RAJU KOLA,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Sh. Kola Papaiah,49,IND,"Rs 1,25,000",Nil
VEMULA PUSHPA LATHA,UPPAL  (MEDCHAL-MALKAJGIRI),Sh. Prabhakar Vemula,39,Republican Party of India (Athawale),"Rs 85,000","Rs 8,00,000"
VENKATA BALA KRISHNA AREKAPUDI,KUKATPALLE  (MEDCHAL-MALKAJGIRI),Late Mallikarjuna Rao,55,IND,"Rs 18,75,14,441","Rs 5,67,40,782"
VIGNESHWER REDDY PEESARI,MALKAJGIRI  (MEDCHAL-MALKAJGIRI),Sh. Narsimha Reddy Peesari,46,IND,"Rs 3,20,98,000",Nil
YENUGU SUDARSAN REDDY,MEDCHAL  (MEDCHAL-MALKAJGIRI),Satti Reddy,46,BJP,"Rs 13,83,94,000","Rs 40,00,000"
AJMEERA PRAHALAD,MULUG (ST)  (MULUGU),Ajmera Chandulal,45,BJP,"Rs 9,04,23,822","Rs 1,11,87,402"
BANGARI NARESH,MULUG (ST)  (MULUGU),Krishnaiah,31,IND,"Rs 37,000",Nil
BHUKYA JAMPANNA,MULUG (ST)  (MULUGU),Dhan Singh,33,BSP,"Rs 31,15,000",Nil
CHANDRU NAYAK NUNAVAT,MULUG (ST)  (MULUGU),Tejya,61,Marxist Communist Party of India (United),"Rs 32,76,000","Rs 2,10,000"
DANASARI ANASUYA SEETHAKKA(Winner),MULUG (ST)  (MULUGU),D. Sammaiah,52,INC,Telangana 2018,"Rs50,30,000"
KAPULA SAMMAIAH,MULUG (ST)  (MULUGU),Chandraiah,38,IND,"Rs 18,55,600",Nil
MADDILA VENKATESHWARLU,MULUG (ST)  (MULUGU),Chandraiah,37,IND,Nil,Nil
MALYALA MANOHAR,MULUG (ST)  (MULUGU),Malyala Lingaraju,32,Dharma Samaj Party,"Rs 2,58,500",Nil
NAGAJYOTHI BADE,MULUG (ST)  (MULUGU),Late Nageshwar Rao Bade,29,BRS,"Rs 77,12,336","Rs 4,44,279"
SAMMAKKA VAJJA,MULUG (ST)  (MULUGU),Suraiah,43,IND,"Rs 2,49,500",Nil
VAJJA JYOTHI BASU,MULUG (ST)  (MULUGU),Ramaswamy,43,Gondwana Dandkaranya Party,Telangana 2023,"Rs7,69,500"
A HARSHAVARDHAN RAO,KOLLAPUR  (NAGARKURNOOL),Aellane Venkateshwar Rao,36,IND,"Rs 18,50,000",Nil
AADI SANDHYA RANI,KOLLAPUR  (NAGARKURNOOL),Aadi Venkataiah,39,Dharma Samaj Party,"Rs 54,60,000","Rs 52,00,000"
AELLENI SUDHAKAR RAO,KOLLAPUR  (NAGARKURNOOL),Aelleni Venkat Rao,57,BJP,Telangana 2018,"Rs2,47,17,792"
BACHIPUR VENKATAIAH,NAGARKURNOOL  (NAGARKURNOOL),Bachipur Muthyalu,43,Praja Ektha Party,"Rs 24,81,200",Nil
BALRAJU GUDDATI,ACHAMPET (SC)  (NAGARKURNOOL),G. Balaiah,29,Alliance of Democratic Reforms Party,"Rs 21,52,000","Rs 2,55,000"
BEERAM HARSHAVARDHAN REDDY,KOLLAPUR  (NAGARKURNOOL),Beeram Laxma Reddy,45,BRS,Telangana 2018,"Rs7,62,85,203"
BUSI REDDY SUDHAKAR REDDY,NAGARKURNOOL  (NAGARKURNOOL),Narasimha Reddy,63,IND,"Rs 7,87,45,000","Rs 5,00,000"
C. SURENDER REDDY,NAGARKURNOOL  (NAGARKURNOOL),C Shekhar Reddy,28,Vidhyarthula Rajakiya Party,"Rs 1,76,781","Rs 1,01,190"
CHARAGONDA KRISHNAMMA,ACHAMPET (SC)  (NAGARKURNOOL),Charagonda Chinda Balaiah,50,IND,Telangana 2018,"Rs3,21,000"
CHIKKUDU VAMSHI KRISHNA(Winner),ACHAMPET (SC)  (NAGARKURNOOL),Chinna Balaiah,57,INC,Telangana 2018,"Rs2,18,69,129"
CHINTHA SAIBABU,ACHAMPET (SC)  (NAGARKURNOOL),Mashaiah,31,Dharma Samaj Party,"Rs 4,07,835","Rs 3,41,128"
DAGADALA VISHNUVARDHAN GOUD ALIAS KONDARAOPALLY VISHNU GOUD,KOLLAPUR  (NAGARKURNOOL),Dagadal Venkatswamy Goud,39,IND,"Rs 32,51,401","Rs 10,75,781"
DANNOJI ARAVIND,NAGARKURNOOL  (NAGARKURNOOL),Dannoji Krishnaiah,33,Dharma Samaj Party,"Rs 50,000",Nil
DEVANI SATHYANARAYANA ALIAS DEVANI SATISH MADIGA,ACHAMPET (SC)  (NAGARKURNOOL),Erra Kistanna Alias Kistaiah Alias D. Kistaiah,54,BJP,"Rs 13,10,000",Nil
DR. KUCHKULLA RAJESH REDDY(Winner),NAGARKURNOOL  (NAGARKURNOOL),KUCHKULLA DAMODAR REDDY,50,INC,"Rs 29,15,73,743","Rs 1,20,00,000"
GADDAM VIJAY,NAGARKURNOOL  (NAGARKURNOOL),Niranjan,39,Bahujan Mukti Party,"Rs 27,09,000",Nil
GAGANAM SHEKARAIAH,KOLLAPUR  (NAGARKURNOOL),Kurumaiah,47,BSP,"Rs 1,36,00,000","Rs 74,00,000"
GOUNTI VIKRAM YADAV,KOLLAPUR  (NAGARKURNOOL),Kumar Chowdary Yadav Gounty,37,Samaikyandhra Parirakshana Samithi,"Rs 39,60,000",Nil
GUVVALA BALARAJU,ACHAMPET (SC)  (NAGARKURNOOL),Ramulu,46,BRS,Telangana 2018,"Rs6,96,74,000"
J.SWAMY,NAGARKURNOOL  (NAGARKURNOOL),Bakkaiah,33,Pyramid Party of India,"Rs 95,000",Nil
JANAKI RAM REDDY KADUKUNTLA,NAGARKURNOOL  (NAGARKURNOOL),Seeta Ram Reddy,36,IND,"Rs 35,00,000",Nil
JUPALLY KRISHNA RAO(Winner),KOLLAPUR  (NAGARKURNOOL),Late Jupally Seshagiri Rao,68,INC,Telangana 2018,"Rs1,97,78,929"
K KUMAR,NAGARKURNOOL  (NAGARKURNOOL),K Mallaiah,50,BSP,"Rs 98,14,000","Rs 1,05,000"
KARNE SHIREESHA ALIAS BARRELAKKA,KOLLAPUR  (NAGARKURNOOL),Karne Anuradha,26,IND,"Rs 3,000",Nil
KEESARI HARSHAVARDHAN REDDY,KOLLAPUR  (NAGARKURNOOL),Keesari Bhupati Reddy,27,IND,"Rs 64,00,000","Rs 1,47,920"
KONDAPALLY RAMULU,ACHAMPET (SC)  (NAGARKURNOOL),Late Kondapally Ramakrishna,44,Bahujan Mukti Party,Telangana 2023,"Rs63,87,000"
KOYYALA SRINIVASULU,ACHAMPET (SC)  (NAGARKURNOOL),Mallaiah,36,Praja Shanthi Party,"Rs 10,000",Nil
KUNDA MALLIKARJUN,ACHAMPET (SC)  (NAGARKURNOOL),Chennaiah,43,Yuga Thulasi Party,"Rs 11,11,535","Rs 2,85,798"
MARRI JANARDHAN REDDY,NAGARKURNOOL  (NAGARKURNOOL),Jangi Reddy Marri,54,BRS,Telangana 2018,"Rs1,61,29,37,113"
MOTHUKURI NAGARJUN,ACHAMPET (SC)  (NAGARKURNOOL),Mothukuri Niranjan,33,BSP,"Rs 3,34,70,257","Rs 26,61,857"
MUDAVATH BALARAJU NAIK,NAGARKURNOOL  (NAGARKURNOOL),Mudavath Dhansingh,35,IND,"Rs 49,50,000","Rs 2,60,000"
N. SATHYAM,ACHAMPET (SC)  (NAGARKURNOOL),N Arjunaiah,38,Aabaad Party,"Rs 45,50,078",Nil
NEELAM KRISHNA SWAERO,KOLLAPUR  (NAGARKURNOOL),N.Chinna Kistaiah,36,IND,"Rs 10,60,000","Rs 1,50,000"
NENAVATH SHIVUDU,KOLLAPUR  (NAGARKURNOOL),Nenavath Budda,31,Navarang Congress Party,"Rs 21,000",Nil
PRAVEEN KUMAR NARUMOLLA,ACHAMPET (SC)  (NAGARKURNOOL),Balakistaiah Narumolla,30,IND,"Rs 8,15,000","Rs 1,00,000"
RAMACHANDRA REDDY. K,NAGARKURNOOL  (NAGARKURNOOL),Sri K. Venkat Reddy,52,IND,"Rs 1,30,60,050","Rs 29,50,712"
RAVI ARRAGADDA,ACHAMPET (SC)  (NAGARKURNOOL),Late Krishnaiah,28,IND,"Rs 9,27,200","Rs 3,60,000"
RAVIKUMAR BEJAVADA,ACHAMPET (SC)  (NAGARKURNOOL),Bejavada Rajaiah,53,IND,"Rs 1,50,20,000",Nil
SHANKAR K,NAGARKURNOOL  (NAGARKURNOOL),Ushaiah K.,39,Samaikyandhra Parirakshana Samithi,"Rs 50,50,000","Rs 1,90,000"
SOPPARI VENKATASWAMY,KOLLAPUR  (NAGARKURNOOL),Narasimha,45,IND,"Rs 3,00,000",Nil
TALARI BALAVARDHAN,KOLLAPUR  (NAGARKURNOOL),Yellaiah,28,IND,Nil,Nil
VANGA LAXMAN GOUD,NAGARKURNOOL  (NAGARKURNOOL),Sh. Vanga Dasharatham Goud,38,Janasena Party,"Rs 31,53,000",Nil
VANGURI JAYASHANKER,NAGARKURNOOL  (NAGARKURNOOL),Vanguri Laxmaiah,33,Bahujan Republican Socialist Party,Rs 500,Nil
JULAKANTI RANGA REDDY,MIRYALAGUDA  (NALGONDA),JULAKANTI KASHI REDDY,68,CPI(M),Telangana 2014,"Rs51,00,000"
ACHANA SRINIVASULU,MUNUGODE  (NALGONDA),Late Ramulu Achana,49,Bharatha Chaitanya Yuvajana Party,"Rs 2,25,60,340","Rs 13,52,048"
ALE VENKATESHAM,MUNUGODE  (NALGONDA),Late. Ale Maraiah,36,Bhartiya Swadeshi Congress,"Rs 82,000",Nil
ANGOTHU SIKINDAR NAIK,MUNUGODE  (NALGONDA),Angothu Desya,32,IND,"Rs 23,81,289","Rs 4,04,354"
ANITHA MASUNA,NAGARJUNA SAGAR  (NALGONDA),Srinivas Masuna,43,Alliance of Democratic Reforms Party,"Rs 95,85,821","Rs 13,55,224"
ANNAPURNA NAKIREKANTI,NAGARJUNA SAGAR  (NALGONDA),Saidulu Nakirekanti,32,Yuga Thulasi Party,"Rs 28,39,947",Nil
ANTHATI HARI PRASAD GOUD,MUNUGODE  (NALGONDA),Laxminarayana Anthati,62,IND,"Rs 91,20,000","Rs 7,00,000"
ARRURI VENKATESHWARLU,MUNUGODE  (NALGONDA),Ramulu,43,IND,"Rs 6,36,264","Rs 75,000"
ASHOK REDDY,MIRYALAGUDA  (NALGONDA),Sudhakar Reddy P,31,Jana Shankhaaraavam Party,"Rs 25,75,800",Nil
AVVARU VENU KUMAR,MUNUGODE  (NALGONDA),A. Ravindar,40,Bahujana Left Party,"Rs 1,66,50,030","Rs 24,97,787"
B. RUKMINI NAIK,NAGARJUNA SAGAR  (NALGONDA),B. Narayana Naik,51,Jai Maha Bharath Party,"Rs 5,51,000",Nil
BAAAREDDY LAKSHMA REDDY,MIRYALAGUDA  (NALGONDA),Kotireddy,38,IND,"Rs 19,17,300","Rs 5,15,000"
BALU NAIK NENAVATH(Winner),DEVARAKONDA (ST)  (NALGONDA),Laskaru,51,INC,Telangana 2018,"Rs29,36,759"
BANDARI RAJU,NAKREKAL (SC)  (NALGONDA),Ram Chandru,37,IND,"Rs 20,000",Nil
BANTU RAVI,MIRYALAGUDA  (NALGONDA),Saidulu Bantu,35,Pyramid Party of India,"Rs 3,71,500",Nil
BATHULA LAXMA REDDY(Winner),MIRYALAGUDA  (NALGONDA),Bathula Eswar Reddy,54,INC,"Rs 49,09,39,725","Rs 10,79,58,883"
BHEEMANAPALLY VENKATARAMANA (BVR),MUNUGODE  (NALGONDA),Narsimha,36,IND,"Rs 40,000",Nil
BODA ASHWINI KUMAR,NAKREKAL (SC)  (NALGONDA),Yellaiah,44,IND,"Rs 3,00,000","Rs 72,000"
BODDU VENKANNA YADAV,MIRYALAGUDA  (NALGONDA),Sh. Boddu Sambaiah,31,Bharatha Chaitanya Yuvajana Party,Telangana 2018,"Rs15,500"
BOLLEPALLY NARESH,MUNUGODE  (NALGONDA),Bollepally Venkatesham,33,Navarang Congress Party,Telangana 2018,"Rs3,56,126"
BOLUSANI KRISHNAIAH,MIRYALAGUDA  (NALGONDA),Lingaiah,60,IND,Telangana 2018,"Rs15,10,000"
BUSHIPAKA VENKATAIAH,MUNUGODE  (NALGONDA),Bushipaka Krishnaiah,41,IND,Telangana 2018,"Rs35,000"
CHEDUBUDDI RAMESH,NALGONDA  (NALGONDA),Sh. Lacchaiah,35,Praja Ektha Party,"Rs 52,400",Nil
CHELAMALLA KRISHNA REDDY,MUNUGODE  (NALGONDA),LATE CHELAMALLA RANGA REDDY,55,BJP,"Rs 1,00,59,47,760","Rs 41,00,15,006"
CHERUKU SHIVA KUMAR,MUNUGODE  (NALGONDA),Narsimha,30,IND,"Rs 17,15,185","Rs 3,00,000"
CHINNAVENKULU BOJJA,NAKREKAL (SC)  (NALGONDA),Ramachandraiah,54,CPI(M),"Rs 21,60,000",Nil
CHINTAKRINDI SWAMY KUMAR,NALGONDA  (NALGONDA),Sh. Ch. Muthaiah,26,IND,"Rs 56,50,000","Rs 21,05,000"
CHINTHAMALLA RAMBABU,NAKREKAL (SC)  (NALGONDA),Bixamaiah,42,IND,"Rs 20,35,300","Rs 12,36,000"
CHIRUMARTHY LINGAIAH,NAKREKAL (SC)  (NALGONDA),Narsimha,50,BRS,Telangana 2018,"Rs67,43,141"
CHITTIPOLU SURENDER,NAGARJUNA SAGAR  (NALGONDA),Veeraiah,44,IND,Telangana 2018,"Rs3,99,153"
CHOLLETI PRABHAKAR,NALGONDA  (NALGONDA),Sh. Narahari,67,IND,Telangana 2018,"Rs90,80,000"
DEPAVATH PARSHURAM NAYAK,MUNUGODE  (NALGONDA),D. Thourya,37,IND,"Rs 36,71,500","Rs 2,00,000"
DEVULAPALLY KARTHIK RAJU,MIRYALAGUDA  (NALGONDA),Sh. Venu Gopal Raju,33,Navarang Congress Party,"Rs 1,15,000",Nil
DONURI NARSI REDDY,MUNUGODE  (NALGONDA),Linga Reddy,61,CPI(M),"Rs 1,36,30,000","Rs 6,00,000"
DR. MUDAVATH VENKATESH,DEVARAKONDA (ST)  (NALGONDA),Mudavath Laxma,34,BSP,"Rs 86,08,376","Rs 89,49,552"
ERPULA GALAIAH,MUNUGODE  (NALGONDA),Erpula Lingaiah,47,Dharma Samaj Party,Telangana 2018,"Rs9,50,000"
GALENKA VIJAY KUMAR,MUNUGODE  (NALGONDA),Late Ayodya,47,IND,Telangana 2018,"Rs2,01,000"
GANDIKOTA VENKAT LAXMAN,NALGONDA  (NALGONDA),Sh. Laxmiah,51,IND,"Rs 5,98,40,000","Rs 75,000"
GANTEPAKA SWAMY,NAKREKAL (SC)  (NALGONDA),Lt. Gantepaka Ramulu,49,IND,"Rs 67,00,000","Rs 6,90,000"
GAVALAPALLI SUBRAHMANYAM,NAGARJUNA SAGAR  (NALGONDA),Nageswara Rao,39,IND,"Rs 81,94,403",Nil
GIRIBABU KUKKALA,NAGARJUNA SAGAR  (NALGONDA),Saidaiah Kukkala,31,IND,"Rs 21,000",Nil
GOLI SAIDULU,NALGONDA  (NALGONDA),Sh. Ramulu,40,IND,"Rs 10,000",Nil
GOPAL SWAMY DESHAGANI,NALGONDA  (NALGONDA),Sh. Raghupathi Deshagani,45,Janata Congress,"Rs 40,85,000","Rs 12,00,000"
GOPI VASUKULA,MIRYALAGUDA  (NALGONDA),Somulu,32,Marxist Communist Party of India (United),"Rs 18,55,300","Rs 1,25,000"
GUDAPURI SANJEEVA,NALGONDA  (NALGONDA),Sh. Venkataiah,28,IND,"Rs 1,74,535","Rs 43,000"
GUNTOJU VENKATA CHARY,NALGONDA  (NALGONDA),VISHNU MURTHI,58,IND,"Rs 2,72,15,563","Rs 1,75,18,130"
JAKKULA NARSIMHA,NAGARJUNA SAGAR  (NALGONDA),Jakkula Ramulu,64,CPI(ML) Red Star,"Rs 23,52,829","Rs 3,70,000"
JANAIAH NANDIPATI,MIRYALAGUDA  (NALGONDA),Devaiah,47,Telangana Sakalajanula Party,Telangana 2023,"Rs23,82,638"
JANARDANREDDY GUNDREDDY,MIRYALAGUDA  (NALGONDA),Sh. Mattaareddy,43,IND,"Rs 13,40,000",Nil
JANIGALA RAMULU YADAV,NALGONDA  (NALGONDA),Sh. Mallesham,49,IND,"Rs 8,77,500",Nil
JINKALA KRISHNA MUDIRAJ,MUNUGODE  (NALGONDA),Panadari,47,Telangana Rajya Samithi,"Rs 1,76,67,289",Nil
K.V. GOUD,MUNUGODE  (NALGONDA),Karnati Devaiah,44,Social Justice Party of India,Telangana 2018,"Rs16,14,914"
KADIRE KIRAN KUMAR,NAKREKAL (SC)  (NALGONDA),Narsaiah,36,Praja Shanthi Party,"Rs 11,17,068",Nil
KAMBAMPATI SATYANARAYANA PRAJAPATHI,MUNUGODE  (NALGONDA),Venkaiah,35,National Nava Kranthi Party,Telangana 2018,"Rs14,61,284"
KANCHARLA ANAND REDDY,NALGONDA  (NALGONDA),Sh. Kancharla Shekhar Reddy,34,Alliance of Democratic Reforms Party,"Rs 24,00,592","Rs 18,11,410"
KANCHARLA BHUPAL REDDY,NALGONDA  (NALGONDA),Late Malla Reddy,50,BRS,Telangana 2018,"Rs32,39,06,231"
KANDIMALLA BHASKAR,NALGONDA  (NALGONDA),Sh. Kandimalla Narsaiah,57,IND,"Rs 14,61,125","Rs 10,53,000"
KANDUKURI NARESH,NAKREKAL (SC)  (NALGONDA),Dharamaiah,31,IND,"Rs 13,54,794","Rs 2,57,482"
KANKANALA NIVEDITA,NAGARJUNA SAGAR  (NALGONDA),KANKANALA SRIDHAR REDDY,47,BJP,Telangana 2018,"Rs16,51,85,936"
KARAMTOTH CHANDAR,MUNUGODE  (NALGONDA),Karamtoth Bheema Naik,29,IND,"Rs 64,72,159","Rs 15,90,000"
KASAIAH POTHUGANTI,NAGARJUNA SAGAR  (NALGONDA),Bhaskar Pothuganti,28,Marxist Communist Party of India (United),Telangana 2018,Nil
KATTA PRABHAKAR REDDY,MUNUGODE  (NALGONDA),K Krishana Reddy,54,Alliance of Democratic Reforms Party,"Rs 1,80,70,000",Nil
KATTA SRINIVAS,NAKREKAL (SC)  (NALGONDA),Antaiah,50,IND,Lok Sabha 2019,"Rs14,35,000"
KELAVATH VASHYA,DEVARAKONDA (ST)  (NALGONDA),Kelavath Lalu Naik,27,IND,"Rs 82,30,100","Rs 16,76,830"
KETHAVATH BABU RAM,DEVARAKONDA (ST)  (NALGONDA),Kethavath Sarya,32,Vidhyarthula Rajakiya Party,"Rs 21,68,000",Nil
KETHAVATH LALU,DEVARAKONDA (ST)  (NALGONDA),Gundya,59,BJP,Telangana 2014,"Rs2,61,12,582"
KINNERA YADAIAH,MUNUGODE  (NALGONDA),Lakshmaiah,38,IND,Telangana 2023,"Rs2,62,000"
KISHAN. E,DEVARAKONDA (ST)  (NALGONDA),Hari,36,IND,"Rs 73,17,000",Nil
KOLA SAIDULU,MIRYALAGUDA  (NALGONDA),Sh. Chinnavenkataiah,34,Prajavani Party,"Rs 7,43,000","Rs 30,000"
KOLISHETTY SHIVA KUMAR,MUNUGODE  (NALGONDA),Laxmaiah,46,Yuga Thulasi Party,Telangana 2018,"Rs4,94,12,832"
KOMATI REDDY VENKAT REDDY(Winner),NALGONDA  (NALGONDA),Late K.Papi Reddy,60,INC,Lok Sabha 2019,"Rs16,25,43,845"
KOMATIREDDY RAJ GOPAL REDDY(Winner),MUNUGODE  (NALGONDA),Late Koamatireddy Papi Reddy,56,INC,Telangana 2018,"Rs3,14,31,70,406"
KOMMU SHOBHARANI,NAKREKAL (SC)  (NALGONDA),Kommu Yadaiah,37,IND,"Rs 17,46,500","Rs 3,25,000"
KOOSUKUNTLA PRABHAKAR REDDY,MUNUGODE  (NALGONDA),K.Janga Reddy,63,BRS,Telangana 2018,"Rs13,79,26,037"
KORE YADAIAH,MUNUGODE  (NALGONDA),Kore Ramachandra,49,IND,"Rs 1,01,35,500",Nil
KORRA LAKPATHI,DEVARAKONDA (ST)  (NALGONDA),Korra Bikya,33,Socialist Party (India),"Rs 1,02,000","Rs 1,05,000"
KOTHA VENKATAIAH,MUNUGODE  (NALGONDA),Yellaiah,49,IND,"Rs 12,000","Rs 1,25,000"
KOTI NUNI,NALGONDA  (NALGONDA),Sh. Lingaiah,42,IND,"Rs 1,30,000",Nil
KUKUDALA MANOJ KUMAR,MIRYALAGUDA  (NALGONDA),Sh. Satyanarayan Kukudala,28,Vidhyarthula Rajakiya Party,"Rs 25,000",Nil
KUMAR MODDU,MUNUGODE  (NALGONDA),Ramulu,35,IND,"Rs 3,06,000",Nil
KUNDURU JAYAVEER(Winner),NAGARJUNA SAGAR  (NALGONDA),Kunduru Jana Reddy,41,INC,"Rs 36,99,61,134","Rs 8,89,85,000"
LOKANABOYINA RAMANA MUDIRAJ,NAGARJUNA SAGAR  (NALGONDA),Mallaiah,51,BSP,"Rs 32,05,352","Rs 17,86,159"
MADAGONI SRINIVAS GOUD,NALGONDA  (NALGONDA),MADAGONI RAMSHETTY GOUD,52,BJP,"Rs 9,56,37,839","Rs 88,75,601"
