name,constituency,so_do_wo,age,party,assets,liabilities
MADDILETI,ALAMPUR (SC)  (JOGULAMBA GADWAL),H JAGANNATHAM,30,All India Samata Party,Rs 500,Nil
MALICHETI VENKAT REDDY,GADWAL  (JOGULAMBA GADWAL),Malicheti Poli Reddy,60,Vidhyarthula Rajakiya Party,"Rs 18,71,299",Nil
N VENKATESH NAIK,GADWAL  (JOGULAMBA GADWAL),Nanya Naik,31,IND,"Rs 97,000",Nil
PERAPOGU PRASANGI,ALAMPUR (SC)  (JOGULAMBA GADWAL),ERRANNA,58,Pyramid Party of India,Telangana 2018,"Rs6,15,000"
RAGHAVENDRUDU,GADWAL  (JOGULAMBA GADWAL),Balaswamy,33,IND,"Rs 2,17,300","Rs 30,000"
RAJAGOPAL PERUMALLU,ALAMPUR (SC)  (JOGULAMBA GADWAL),Sh. Kistanna,63,BJP,"Rs 22,65,881","Rs 54,28,955"
RAJU,ALAMPUR (SC)  (JOGULAMBA GADWAL),Janaiah,45,IND,"Rs 15,60,000","Rs 2,00,000"
RAJU GADDEGOTHRAM,GADWAL  (JOGULAMBA GADWAL),Thippanna Gaddegothram,34,IND,"Rs 14,68,500",Nil
SARITHA W/O SRINIVAS GOUD,GADWAL  (JOGULAMBA GADWAL),Srinivas Goud,36,IND,"Rs 3,95,000",Nil
SARITHA W/O THIRUPATAIAH,GADWAL  (JOGULAMBA GADWAL),Tirupataiah,40,INC,"Rs 5,96,89,715","Rs 2,61,52,000"
SHIVA REDDY,GADWAL  (JOGULAMBA GADWAL),Raman Goudu,59,BJP,"Rs 55,40,817","Rs 90,386"
SUBBA RAO,GADWAL  (JOGULAMBA GADWAL),Chinna Sheshanna,47,Pyramid Party of India,"Rs 10,05,000","Rs 35,000"
UPARI RAVI KUMAR,GADWAL  (JOGULAMBA GADWAL),Sayanna,34,IND,"Rs 22,000","Rs 3,58,057"
VIJAYUDU(Winner),ALAMPUR (SC)  (JOGULAMBA GADWAL),Savaranna,46,BRS,"Rs 59,70,537","Rs 1,80,000"
AKULA HANMANDLU,KAMAREDDY  (KAMAREDDY),Chinna Gangaram,50,Praja Sena Party,Lok Sabha 2019,Nil
AKULA HAREESH,KAMAREDDY  (KAMAREDDY),A.Mallaiah,28,IND,"Rs 60,000",Nil
AMAR SINGH BAMAN,YELLAREDDY  (KAMAREDDY),Dasirya Baman,43,IND,"Rs 1,15,48,927","Rs 25,70,050"
ANIL KUMAR BUDDI,JUKKAL (SC)  (KAMAREDDY),Manohar Buddi,32,IND,"Rs 11,08,671",Nil
ANUMULA REVANTH REDDY,KAMAREDDY  (KAMAREDDY),Late Anumula Narsimha Reddy,56,INC,Telangana 2023,"Rs30,04,98,852"
ARROLLA NARESH,KAMAREDDY  (KAMAREDDY),Balnarsu,29,IND,"Rs 26,45,033","Rs 9,40,000"
ARUNA THARA T,JUKKAL (SC)  (KAMAREDDY),Ashirwadam,50,BJP,Telangana 2018,"Rs61,59,056"
BAABU R,KAMAREDDY  (KAMAREDDY),Shivaram,38,Bahujan Bharat Party,Telangana 2023,"Rs5,06,000"
BAABU. R,JUKKAL (SC)  (KAMAREDDY),Shivaram,38,Bahujan Bal Party,Telangana 2023,"Rs5,06,000"
BALRAJU TALARI,YELLAREDDY  (KAMAREDDY),Bhoomaiah,42,Praja Shanthi Party,Telangana 2018,"Rs14,99,000"
BANSWADA SUBHASH REDDY,YELLAREDDY  (KAMAREDDY),Late Papireddy,59,BJP,"Rs 42,65,73,882","Rs 3,14,000"
BANTHILAL MANJA,KAMAREDDY  (KAMAREDDY),Baban,46,IND,"Rs 1,19,44,829","Rs 7,04,382"
BARIGELA SHIVA,KAMAREDDY  (KAMAREDDY),Komuraiah,31,IND,"Rs 49,33,136",Nil
BHARGAVI MANGILIPALLY,KAMAREDDY  (KAMAREDDY),Ramulu,40,IND,"Rs 1,50,000",Nil
BHOOMAIAH PONAGANTIWARI,JUKKAL (SC)  (KAMAREDDY),Narsaiah,36,Dharma Samaj Party,"Rs 18,18,997","Rs 2,03,807"
BODASU NARSIMLU,KAMAREDDY  (KAMAREDDY),Baodasu Ellaiah,37,IND,"Rs 30,000","Rs 46,900"
BOGUDAMEEDA SAILU,JUKKAL (SC)  (KAMAREDDY),Bogudameeda Kamaiah,51,Telangana Rajya Samithi,"Rs 68,55,211","Rs 1,26,000"
CHANDRA SEKHAR CHALIKA,KAMAREDDY  (KAMAREDDY),CA Ashok,43,IND,Telangana 2023,"Rs47,40,000"
CHEVULA PARSHURAMULU,KAMAREDDY  (KAMAREDDY),Chevula Buchaiah,32,IND,"Rs 7,93,123",Nil
DANDU DHANUNJAY,KAMAREDDY  (KAMAREDDY),Dandu Rajanna,29,Uttara Raashtra Telangana Party,Telangana 2023,"Rs2,36,697"
DODLE RAJENDER,KAMAREDDY  (KAMAREDDY),Sh. Dodle Ramulu,40,IND,"Rs 65,75,500","Rs 6,60,000"
EKAMBEKAR PRAGNA KUMAR,JUKKAL (SC)  (KAMAREDDY),Madhav Rao,49,BSP,"Rs 75,80,099",Nil
G LAXMI,JUKKAL (SC)  (KAMAREDDY),Laxman,32,IND,"Rs 21,15,000",Nil
GABBULA NAGENDAR,KAMAREDDY  (KAMAREDDY),Sh. Vithaleshwar,54,IND,Telangana 2023,"Rs36,76,000"
GAIKWAD PRAKASH,JUKKAL (SC)  (KAMAREDDY),Gaikwad Pochiram,62,IND,"Rs 84,19,663","Rs 2,50,000"
GAINI PREM KUMAR,JUKKAL (SC)  (KAMAREDDY),Balaiah,39,IND,"Rs 6,94,729","Rs 1,00,000"
GAJGE RAJU,JUKKAL (SC)  (KAMAREDDY),Maruthi,27,India Praja Bandhu Party,"Rs 2,32,000",Nil
GAMA SANJEEV,JUKKAL (SC)  (KAMAREDDY),Gama Laxman,30,IND,"Rs 6,158",Nil
GATTUGALLA VITTAL,JUKKAL (SC)  (KAMAREDDY),Gattugalla Sailu,28,IND,"Rs 79,69,684",Nil
GURRAPU PEDDAKOLLA JAI KUMAR,YELLAREDDY  (KAMAREDDY),Chinnagangaram,30,Bharatha Chaitanya Yuvajana Party,"Rs 2,24,100","Rs 2,50,000"
HANMANT SHINDE,JUKKAL (SC)  (KAMAREDDY),Madappa,57,BRS,Telangana 2018,"Rs1,12,67,689"
